DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-12-24 23:00:00,105.67,,20140600,20140300,,20140600
2013-12-25 04:31:53,,,20140600,20140300,,20140600
2013-12-26 04:31:50,105.685,,20140600,20140300,,20140600
2013-12-26 23:00:00,105.68,,20140600,20140300,,20140600
2013-12-27 04:32:05,105.835,,20140600,20140300,,20140600
2013-12-27 23:00:00,105.84,,20140600,20140300,,20140600
2013-12-30 04:31:54,105.9125,,20140600,20140300,,20140600
2013-12-30 23:00:00,105.74,,20140600,20140300,,20140600
2013-12-31 04:31:54,,,20140600,20140300,,20140600
2014-01-01 04:31:53,,,20140600,20140300,,20140600
2014-01-02 04:31:52,105.565,,20140600,20140300,,20140600
2014-01-02 23:00:00,105.5,,20140600,20140300,,20140600
2014-01-03 04:31:54,105.445,,20140600,20140300,,20140600
2014-01-03 23:00:00,105.49,,20140600,20140300,,20140600
2014-01-06 23:00:00,105.75,,20140600,20140300,,20140600
2014-01-07 04:32:02,105.665,,20140600,20140300,,20140600
2014-01-07 23:00:00,105.74,,20140600,20140300,,20140600
2014-01-08 04:31:56,105.855,,20140600,20140300,,20140600
2014-01-08 23:00:00,105.76,,20140600,20140300,,20140600
2014-01-09 04:31:56,105.59,,20140600,20140300,,20140600
2014-01-09 23:00:00,105.63,,20140600,20140300,,20140600
2014-01-10 23:00:00,105.58,,20140600,20140300,,20140600
2014-01-13 23:00:00,105.67,,20140600,20140300,,20140600
2014-01-14 06:43:19,,,20140600,20140300,,20140600
2014-01-14 23:00:00,105.62,,20140600,20140300,,20140600
2014-01-15 23:00:00,105.61,,20140600,20140300,,20140600
2014-01-16 23:00:00,105.68,,20140600,20140300,,20140600
2014-01-17 04:32:01,105.695,,20140600,20140300,,20140600
2014-01-17 23:00:00,105.66,,20140600,20140300,,20140600
2014-01-20 23:00:00,105.62,,20140600,20140300,,20140600
2014-01-21 23:00:00,105.6,,20140600,20140300,,20140600
2014-01-22 23:00:00,105.57,,20140600,20140300,,20140600
2014-01-23 23:00:00,105.63,,20140600,20140300,,20140600
2014-01-24 04:32:11,105.745,,20140600,20140300,,20140600
2014-01-24 23:00:00,105.78,,20140600,20140300,,20140600
2014-01-27 04:32:00,105.705,,20140600,20140300,,20140600
2014-01-27 23:00:00,105.69,,20140600,20140300,,20140600
2014-01-28 23:00:00,105.73,,20140600,20140300,,20140600
2014-01-29 23:00:00,105.74,,20140600,20140300,,20140600
2014-02-03 06:46:42,,,20140600,20140300,,20140600
2014-02-03 06:52:21,,,20140600,20140300,,20140600
2014-02-03 06:57:37,,,20140600,20140300,,20140600
2014-02-03 07:03:01,,,20140600,20140300,,20140600
2014-02-03 07:08:19,,,20140600,20140300,,20140600
