DATETIME,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT,PRICE,FORWARD,CARRY
1988-12-16 00:00:00,198903,198906,198906,95.375,95.375,95.375
1988-12-19 00:00:00,198903,198906,198906,95.46875,95.46875,95.46875
1988-12-20 00:00:00,198903,198906,198906,95.8125,95.8125,95.8125
1988-12-21 00:00:00,198903,198906,198906,95.875,95.875,95.875
1988-12-22 00:00:00,198903,198906,198906,95.796875,95.796875,95.796875
1988-12-23 00:00:00,198903,198906,198906,95.875,95.875,95.875
1988-12-27 00:00:00,198903,198906,198906,95.46875,95.46875,95.46875
1988-12-28 00:00:00,198903,198906,198906,95.28125,95.28125,95.28125
1988-12-29 00:00:00,198903,198906,198906,95.375,95.375,95.375
1988-12-30 00:00:00,198903,198906,198906,95.5625,95.53125,95.53125
1989-01-03 00:00:00,198903,198906,198906,95.15625,95.125,95.125
1989-01-04 00:00:00,198903,198906,198906,95.109375,95.109375,95.109375
1989-01-05 00:00:00,198903,198906,198906,94.859375,94.859375,94.859375
1989-01-06 00:00:00,198903,198906,198906,94.875,94.875,94.875
1989-01-09 00:00:00,198903,198906,198906,94.921875,94.953125,94.953125
1989-01-10 00:00:00,198903,198906,198906,94.921875,94.9375,94.9375
1989-01-11 00:00:00,198903,198906,198906,94.953125,94.96875,94.96875
1989-01-12 00:00:00,198903,198906,198906,95.28125,95.296875,95.296875
1989-01-13 00:00:00,198903,198906,198906,95.71875,95.765625,95.765625
1989-01-16 00:00:00,198903,198906,198906,95.71875,95.765625,95.765625
1989-01-17 00:00:00,198903,198906,198906,95.65625,95.734375,95.734375
1989-01-18 00:00:00,198903,198906,198906,95.890625,95.953125,95.953125
1989-01-19 00:00:00,198903,198906,198906,95.890625,95.921875,95.921875
1989-01-20 00:00:00,198903,198906,198906,95.75,95.796875,95.796875
1989-01-24 00:00:00,198906,198909,198909,96.234375,,
1989-01-25 00:00:00,198906,198909,198909,95.9375,,
1989-01-26 00:00:00,198906,198909,198909,95.84375,,
1989-01-27 00:00:00,198906,198909,198909,96.078125,,
1989-01-30 00:00:00,198906,198909,198909,95.890625,95.453125,95.453125
1989-01-31 00:00:00,198906,198909,198909,95.859375,95.4375,95.4375
1989-02-01 00:00:00,198906,198909,198909,95.9375,95.921875,95.921875
1989-02-02 00:00:00,198906,198909,198909,96.0625,96.046875,96.046875
1989-02-03 00:00:00,198906,198909,198909,95.875,95.859375,95.859375
1989-02-06 00:00:00,198906,198909,198909,95.84375,95.859375,95.859375
1989-02-07 00:00:00,198906,198909,198909,96.046875,96.078125,96.078125
1989-02-08 00:00:00,198906,198909,198909,96.0,96.03125,96.03125
1989-02-09 00:00:00,198906,198909,198909,95.46875,95.5,95.5
1989-02-10 00:00:00,198906,198909,198909,95.1875,95.21875,95.21875
1989-02-13 00:00:00,198906,198909,198909,95.09375,95.125,95.125
1989-02-14 00:00:00,198906,198909,198909,95.0,95.0625,95.0625
1989-02-15 00:00:00,198906,198909,198909,94.984375,95.046875,95.046875
1989-02-16 00:00:00,198906,198909,198909,95.015625,95.078125,95.078125
1989-02-17 00:00:00,198906,198909,198909,95.03125,95.09375,95.09375
1989-02-21 00:00:00,198906,198909,198909,94.984375,94.921875,94.921875
1989-02-22 00:00:00,198906,198909,198909,94.6875,94.640625,94.640625
1989-02-23 00:00:00,198906,198909,198909,94.359375,94.359375,94.359375
1989-02-24 00:00:00,198906,198909,198909,94.359375,94.515625,94.515625
1989-02-27 00:00:00,198906,198909,198909,94.484375,94.59375,94.59375
1989-02-28 00:00:00,198906,198909,198909,94.65625,94.78125,94.78125
1989-03-01 00:00:00,198906,198909,198909,94.59375,94.71875,94.71875
1989-03-02 00:00:00,198906,198909,198909,94.71875,94.90625,94.90625
1989-03-03 00:00:00,198906,198909,198909,94.78125,94.921875,94.921875
1989-03-06 00:00:00,198906,198909,198909,94.9375,95.078125,95.078125
1989-03-07 00:00:00,198906,198909,198909,94.890625,95.046875,95.046875
1989-03-08 00:00:00,198906,198909,198909,94.96875,95.125,95.125
1989-03-09 00:00:00,198906,198909,198909,94.921875,95.0,95.0
1989-03-10 00:00:00,198906,198909,198909,94.40625,94.484375,94.484375
1989-03-13 00:00:00,198906,198909,198909,94.453125,94.515625,94.515625
1989-03-14 00:00:00,198906,198909,198909,94.5625,94.625,94.625
1989-03-15 00:00:00,198906,198909,198909,94.59375,94.65625,94.65625
1989-03-16 00:00:00,198906,198909,198909,94.625,94.78125,94.78125
1989-03-17 00:00:00,198906,198909,198909,93.796875,93.984375,93.984375
1989-03-20 00:00:00,198906,198909,198909,93.640625,93.859375,93.859375
1989-03-21 00:00:00,198906,198909,198909,93.453125,93.671875,93.671875
1989-03-22 00:00:00,198906,198909,198909,93.78125,93.953125,93.953125
1989-03-23 00:00:00,198906,198909,198909,93.765625,93.9375,93.9375
1989-03-27 00:00:00,198906,198909,198909,93.75,93.9375,93.9375
1989-03-28 00:00:00,198906,198909,198909,93.78125,93.9375,93.9375
1989-03-29 00:00:00,198906,198909,198909,93.96875,94.140625,94.140625
1989-03-30 00:00:00,198906,198909,198909,94.09375,94.265625,94.265625
1989-03-31 00:00:00,198906,198909,198909,94.3125,94.484375,94.484375
1989-04-03 00:00:00,198906,198909,198909,94.796875,94.921875,94.921875
1989-04-04 00:00:00,198906,198909,198909,95.09375,95.21875,95.21875
1989-04-05 00:00:00,198906,198909,198909,95.15625,95.28125,95.28125
1989-04-06 00:00:00,198906,198909,198909,94.90625,95.046875,95.046875
1989-04-07 00:00:00,198906,198909,198909,94.625,94.765625,94.765625
1989-04-10 00:00:00,198906,198909,198909,94.5625,94.703125,94.703125
1989-04-11 00:00:00,198906,198909,198909,94.578125,94.71875,94.71875
1989-04-12 00:00:00,198906,198909,198909,94.53125,94.671875,94.671875
1989-04-13 00:00:00,198906,198909,198909,94.34375,94.484375,94.484375
1989-04-14 00:00:00,198906,198909,198909,95.15625,95.25,95.25
1989-04-17 00:00:00,198906,198909,198909,95.015625,95.109375,95.109375
1989-04-18 00:00:00,198906,198909,198909,95.6875,95.765625,95.765625
1989-04-19 00:00:00,198906,198909,198909,95.5625,95.640625,95.640625
1989-04-20 00:00:00,198906,198909,198909,94.984375,95.078125,95.078125
1989-04-21 00:00:00,198906,198909,198909,95.21875,95.3125,95.3125
1989-04-24 00:00:00,198906,198909,198909,95.234375,95.328125,95.328125
1989-04-26 00:00:00,198909,198912,198912,95.609375,,
