index,0,1,2
1970-11-03,0.0,0.0,0.0
1970-11-04,5980.050320309858,-13127.751228232422,-1688.927647517247
1970-11-05,-6414.280930872495,9375.80797130573,1358.1963472214577
1970-11-06,-9594.929992453974,13092.032022651034,2027.7771590888983
1970-11-09,14620.54929060144,-13627.466743096593,-2249.727266333901
1970-11-10,-12102.503992062124,9778.011475794672,1589.164956480501
1970-11-11,0.0,0.0,0.0
1970-11-12,889.8878831386668,-798.4628280243567,-148.46254844297476
1970-11-13,-7921.800105997436,4206.7323444138865,966.5123938929688
1970-11-16,8754.934805226661,-4137.262676148118,-1136.1397147329383
1970-11-17,-8690.118764524253,2799.2376768463623,991.2793628350477
1970-11-18,-18946.830738007917,4174.425890076746,2648.9327049762683
1970-11-19,-2303.4595971742337,383.7152062350374,454.6589573803805
